nivel_ruido,fuerza_cambio,tipo_cambio,algorithm_key,algorithm_library,algorithm_method,supervision,is_univariate,iterations,series_per_iteration,delta_eval,series_evaluated,series_avg_length,series_std_length,notes,status,trial_id,is_best,params_json,f1_mean,precision_mean,recall_mean,mmd_mean,mttd_mean,detections_mean,tp_mean,fp_mean,fn_mean,series_count
alto,alto,escalon,ocpdet_ewma,OCPDet,ewma,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,EWMA adaptativo.,ok,3,False,"{""alpha"": 0.1, ""min_instances"": 5, ""threshold"": 3.0}",0.14493827160493827,0.13518518518518519,0.1925925925925926,0.7320142612369832,3.75,2.911111111111111,0.4222222222222222,2.488888888888889,1.8888888888888888,45
alto,alto,escalon,ocpdet_ewma,OCPDet,ewma,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,EWMA adaptativo.,ok,4,False,"{""alpha"": 0.2, ""min_instances"": 5, ""threshold"": 2.0}",0.22680771706325958,0.13347841903713864,0.9388888888888888,0.40094647129926797,4.547348484848484,18.066666666666666,2.1777777777777776,15.88888888888889,0.13333333333333333,45
alto,alto,escalon,ocpdet_ewma,OCPDet,ewma,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,EWMA adaptativo.,ok,5,False,"{""alpha"": 0.2, ""min_instances"": 5, ""threshold"": 3.0}",0.18144620811287482,0.15187830687830686,0.2722222222222222,0.5861650696253407,4.270833333333333,4.466666666666667,0.6444444444444445,3.8222222222222224,1.6666666666666667,45
alto,alto,escalon,ocpdet_two_sample_tests,OCPDet,two sample tests,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ventanas con KS test.,ok,0,False,"{""alpha"": 0.01, ""min_distance"": 20, ""step"": 5, ""window_size"": 30}",0.4991887125220459,0.4831746031746032,0.6370370370370371,0.5429844725730614,4.754385964912281,3.1777777777777776,1.4222222222222223,1.7555555555555555,0.8888888888888888,45
alto,alto,escalon,ocpdet_two_sample_tests,OCPDet,two sample tests,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ventanas con KS test.,ok,1,False,"{""alpha"": 0.01, ""min_distance"": 30, ""step"": 5, ""window_size"": 30}",0.43966490299823635,0.48203703703703704,0.45,0.5650055203282668,5.622222222222223,2.466666666666667,1.1111111111111112,1.3555555555555556,1.2,45
alto,alto,escalon,ocpdet_two_sample_tests,OCPDet,two sample tests,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ventanas con KS test.,ok,2,False,"{""alpha"": 0.05, ""min_distance"": 20, ""step"": 5, ""window_size"": 30}",0.4898624396663612,0.39069825236491906,0.7925925925925925,0.4190359932103218,4.76984126984127,5.022222222222222,1.8222222222222222,3.2,0.4888888888888889,45
alto,alto,escalon,ocpdet_two_sample_tests,OCPDet,two sample tests,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ventanas con KS test.,ok,3,False,"{""alpha"": 0.05, ""min_distance"": 30, ""step"": 5, ""window_size"": 30}",0.38220187220187224,0.3544276094276094,0.4888888888888889,0.4575005209397945,5.556372549019608,3.6,1.1333333333333333,2.466666666666667,1.1777777777777778,45
alto,alto,escalon,ocpdet_two_sample_tests,OCPDet,two sample tests,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ventanas con KS test.,ok,4,True,"{""alpha"": 0.01, ""min_distance"": 20, ""step"": 5, ""window_size"": 40}",0.5004948138281471,0.44537783204449877,0.6833333333333333,0.46989640043513653,5.549145299145299,4.333333333333333,1.5777777777777777,2.7555555555555555,0.7333333333333333,45
alto,alto,escalon,ocpdet_two_sample_tests,OCPDet,two sample tests,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ventanas con KS test.,ok,5,False,"{""alpha"": 0.01, ""min_distance"": 30, ""step"": 5, ""window_size"": 40}",0.48171717171717177,0.47910052910052914,0.5648148148148148,0.5030505473764731,4.946759259259259,3.2666666666666666,1.288888888888889,1.9777777777777779,1.0222222222222221,45
alto,alto,escalon,ocpdet_two_sample_tests,OCPDet,two sample tests,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ventanas con KS test.,ok,6,False,"{""alpha"": 0.05, ""min_distance"": 20, ""step"": 5, ""window_size"": 40}",0.4447303060048158,0.35626984126984124,0.724074074074074,0.43215264887711335,5.739837398373983,5.6,1.6666666666666667,3.933333333333333,0.6444444444444445,45
